Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
TMEM62,0.141073628,9.41E-11,0.051902962,4.21E-08,0.405388561,0.401634807
TMEM63A,0.873117352,0.005155427,0,0.000286366,0.00168398,0.119756875
TMEM63B,0.201147619,0.333329999,0.035957117,4.61E-11,0.186630069,0.242935196
TMEM63C,0.732449755,0.032461462,0.003423111,0,0.071135143,0.16053053
TMEM64,0.8461574,0.001957065,0.00784488,0,0.019721763,0.124318892
TMEM67,0.775545183,0.016285248,0,0.000551989,0.061828933,0.145788648
TMEM68,0.249149555,0.038857145,0.056747775,0,0.129332386,0.525913139
TMEM69,0.065918593,0.323289886,0.069553126,0,0.122887242,0.418351154
TMEM72-AS1,0.342056873,0.015832229,0.015458091,4.45E-09,0.209257055,0.417395747
TMEM74,0.645078902,0.053452551,0.014259185,2.53E-11,0.04206035,0.245149012
TMEM74B,0.601000368,0.116474051,0.003220863,0.000210124,0.061676562,0.217418032
TMEM79,0.195779736,0.107661511,0.050799427,0.004166706,0.133631235,0.507961387
TMEM80,0.102387658,0.43969826,0.045091408,4.07E-09,0.117087469,0.295735202
TMEM86B,0.050138803,0.278638806,0.003132834,0,0.271735454,0.396354102
TMEM87A,0.819354013,0.046372761,6.15E-05,0.000511624,0.019109769,0.114590309
TMEM87B,0.505822889,6.38E-11,0.004838544,0,0.09595912,0.393379447
TMEM8A,0.244800203,0.236743371,1.41E-10,0.01379627,0.103193172,0.401466985
TMEM8B,0.418795286,0.166159289,0.035780221,0,0.110836483,0.268428721
TMEM9,0.151724889,0.445461284,0.057776443,0.003435489,0.134312394,0.2072895
TMEM91,0.591880365,0.037928156,0,0.002390313,0.090850011,0.276951155
TMEM94,0.479708865,0.174550696,2.68E-09,0.005382554,0.050059708,0.290298174
TMEM97,0.255753277,0.112660336,0.005035669,0,0.206913006,0.419637712
TMEM98,0.830522666,0.005366618,5.52E-10,0.000160813,0.00132781,0.162622092
TMEM99,0.110170466,0.088784644,0.055229901,0,0.088861666,0.656953323
TMEM9B,0.040699759,0.506590772,0.059471826,2.23E-10,0.232119352,0.161118291
TMEM9B-AS1,0.554080216,0.004498077,0.005762523,0.000804061,0.077108498,0.357746624
TMF1,0.484370103,0.019156467,0,0.000989507,0.172680675,0.322803248
TMOD1,0.731556714,0.025170877,0.001135155,8.29E-11,0.038621918,0.203515336
TMOD2,0.265947464,0.212377415,0,8.28E-06,0.126099218,0.395567622
